OBJECTID,sovereignt,type,name,name_long,abbrev,formal_en,region_wb,LITERACY_RT_TOTAL,TOTAL_YEAR,LITERACY_RT_FEMALE,FEMALE_YEAR,LITERACY_RT_MALE,MALE_YEAR,TOTAL_YEAR_LBL
471,Tunisia,Sovereign country,Tunisia,Tunisia,Tun.,Republic of Tunisia,Middle East & North Africa,79.6539077758789,2011,71.7341613769531,2011,87.7550430297852,2011,(2011)
472,Turkey,Sovereign country,Turkey,Turkey,Tur.,Republic of Turkey,Europe & Central Asia,95.2566528320313,2013,92.1380767822266,2013,98.4013748168945,2013,(2013)
473,Taiwan,Sovereign country,Taiwan,Taiwan,Taiwan, ,East Asia & Pacific,98.5,2014,97.3,2014,99.7,2014,(2014)
474,United Republic of Tanzania,Sovereign country,Tanzania,Tanzania,Tanz.,United Republic of Tanzania,Sub-Saharan Africa,78.9826126098633,2012,74.3888778686523,2012,84.0699157714844,2012,(2012)
475,Uganda,Sovereign country,Uganda,Uganda,Uga.,Republic of Uganda,Sub-Saharan Africa,70.1982192993164,2012,61.9704322814941,2012,79.1230392456055,2012,(2012)
476,Ukraine,Sovereign country,Ukraine,Ukraine,Ukr.,Ukraine,Europe & Central Asia,99.7424011230469,2013,99.7019500732422,2013,99.7914581298828,2013,(2013)
477,Uruguay,Sovereign country,Uruguay,Uruguay,Ury.,Oriental Republic of Uruguay,Latin America & Caribbean,98.3638687133789,2013,98.6364288330078,2013,98.0634231567383,2013,(2013)
478,United States of America,Country,United States,United States,U.S.A.,United States of America,North America,99,,,,,,
479,Uzbekistan,Sovereign country,Uzbekistan,Uzbekistan,Uzb.,Republic of Uzbekistan,Europe & Central Asia,99.5187835693359,2013,99.3590316772461,2013,99.6831665039063,2013,(2013)
480,Vatican,Sovereign country,Vatican,Vatican,Vat.,State of the Vatican City,Europe & Central Asia,100,,,,,,
481,Saint Vincent and the Grenadines,Sovereign country,St. Vin. and Gren.,Saint Vincent and the Grenadines,St.V.G.,Saint Vincent and the Grenadines,Latin America & Caribbean,96,,,,,,
482,Venezuela,Sovereign country,Venezuela,Venezuela,Ven.,Bolivarian Republic of Venezuela,Latin America & Caribbean,94.7702255249023,2011,95.0288848876953,2011,94.5023193359375,2011,(2011)
483,United Kingdom,Dependency,British Virgin Is.,British Virgin Islands,V.I. (Br.),British Virgin Islands,Latin America & Caribbean,97.8,,,,,,
484,United States of America,Dependency,U.S. Virgin Is.,United States Virgin Islands,V.I. (U.S.),Virgin Islands of the United States,Latin America & Caribbean,,,,,,,
485,Vietnam,Sovereign country,Vietnam,Vietnam,Viet.,Socialist Republic of Vietnam,East Asia & Pacific,93.5204544067383,2009,91.3790969848633,2009,95.7853240966797,2009,(2009)
486,Vanuatu,Sovereign country,Vanuatu,Vanuatu,Van.,Republic of Vanuatu,East Asia & Pacific,84.0094680786133,2013,82.5337982177734,2013,85.4850234985352,2013,(2013)
487,France,Dependency,Wallis and Futuna Is.,Wallis and Futuna Islands,Wlf.,Wallis and Futuna Islands,East Asia & Pacific,50,,,,,,
488,Samoa,Sovereign country,Samoa,Samoa,Samoa,Independent State of Samoa,East Asia & Pacific,98.973258972168,2011,99.0695343017578,2011,98.8819198608398,2011,(2011)
489,Yemen,Sovereign country,Yemen,Yemen,Yem.,Republic of Yemen,Middle East & North Africa,67.648681640625,2013,51.8216209411621,2013,83.4704818725586,2013,(2013)
490,South Africa,Sovereign country,South Africa,South Africa,S.Af.,Republic of South Africa,Sub-Saharan Africa,93.7294692993164,2012,92.5862503051758,2012,94.9637222290039,2012,(2012)
491,Zambia,Sovereign country,Zambia,Zambia,Zambia,Republic of Zambia,Sub-Saharan Africa,61.4282875061035,2007,51.7869682312012,2007,71.9474334716797,2007,(2007)
492,Zimbabwe,Sovereign country,Zimbabwe,Zimbabwe,Zimb.,Republic of Zimbabwe,Sub-Saharan Africa,83.5827178955078,2011,80.0656585693359,2011,87.7648086547852,2011,(2011)
493,Tuvalu,Sovereign country,Tuvalu,Tuvalu,Tuv.,Tuvalu,East Asia & Pacific,,,,,,,
